['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
311842945 17665 28.3 33.3 20 13288 240ac48eb9d4 99 457
312842804 17661 28.3 33.3 14 13288 240ac48eb9d4 99 458
313842960 17656 28.3 33.3 16 13289 240ac48eb9d4 99 447
314842933 17666 28.2 33.3 17 13289 240ac48eb9d4 99 440
315842959 17659 28.1 33.3 22 13294 240ac48eb9d4 99 440
316842953 17661 28.0 33.3 24 13286 240ac48eb9d4 99 450
317842963 17648 28.1 33.2 30 13237 240ac48eb9d4 99 548
318842657 17644 28.4 33.2 30 13215 240ac48eb9d4 99 595
319842975 17648 28.5 33.2 28 13240 240ac48eb9d4 99 543
320842871 17648 28.4 33.2 28 13264 240ac48eb9d4 99 490
321842867 17660 28.3 33.2 15 13292 240ac48eb9d4 99 444
322844932 17663 28.1 33.3 12 13305 240ac48eb9d4 99 408
323842827 17664 28.0 33.3 12 13315 240ac48eb9d4 99 400
324842819 17667 27.9 33.4 11 13321 240ac48eb9d4 99 401
325842689 17663 27.8 33.4 4 13318 240ac48eb9d4 99 400
326784616 17666 27.7 33.4 -1 13323 240ac48eb9d4 99 -1
327858594 17675 27.7 33.4 0 13325 240ac48eb9d4 99 400
328842760 17673 27.6 33.4 0 13329 240ac48eb9d4 99 400
329842815 17680 27.6 33.4 0 13330 240ac48eb9d4 99 400
330842867 17690 27.5 33.4 0 13329 240ac48eb9d4 99 400
331842883 17680 27.5 33.4 0 13328 240ac48eb9d4 99 400
332842503 17689 27.5 33.4 0 13329 240ac48eb9d4 99 400
333842875 17687 27.5 33.4 0 13324 240ac48eb9d4 99 400
334842803 17689 27.5 33.5 0 13328 240ac48eb9d4 99 400
335842875 17691 27.5 33.4 0 13324 240ac48eb9d4 99 400
336842673 17693 27.5 33.4 0 13322 240ac48eb9d4 99 400
337842823 17692 27.5 33.4 0 13321 240ac48eb9d4 99 400
338842791 17691 27.6 33.4 0 13313 240ac48eb9d4 99 400
339842867 17697 27.6 33.4 0 13316 240ac48eb9d4 99 400
340842855 17681 27.6 33.4 0 13310 240ac48eb9d4 99 400
341842984 17686 27.7 33.4 0 13302 240ac48eb9d4 99 400
342844772 17683 27.7 33.4 0 13300 240ac48eb9d4 99 400
343842823 17683 27.7 33.5 3 13301 240ac48eb9d4 99 404
344842863 17685 27.6 33.4 0 13306 240ac48eb9d4 99 400
345842883 17684 27.5 33.4 0 13304 240ac48eb9d4 99 400
346842648 17684 27.4 33.5 0 13314 240ac48eb9d4 99 400
347842875 17683 27.3 33.5 2 13318 240ac48eb9d4 99 400
348842883 17676 27.3 33.4 7 13316 240ac48eb9d4 99 400
349842875 17682 27.4 33.4 2 13323 240ac48eb9d4 99 400
350842323 17688 27.4 33.4 0 13322 240ac48eb9d4 99 402
351842875 17690 27.4 33.4 0 13323 240ac48eb9d4 99 409
352842327 17687 27.4 33.4 0 13330 240ac48eb9d4 99 401
353843040 17681 27.3 33.4 11 13324 240ac48eb9d4 99 400
354842807 17688 27.3 33.4 10 13325 240ac48eb9d4 99 403
355842879 17692 27.3 33.5 1 13329 240ac48eb9d4 99 400
356842924 17695 27.3 33.5 12 13325 240ac48eb9d4 99 406
357842879 17685 27.3 33.5 7 13327 240ac48eb9d4 99 400
358842851 17690 27.3 33.5 3 13325 240ac48eb9d4 99 405
359842879 17685 27.4 33.5 4 13320 240ac48eb9d4 99 410
360842590 17689 27.4 33.5 0 13323 240ac48eb9d4 99 410
361842603 17696 27.4 33.5 5 13326 240ac48eb9d4 99 406
362843094 17686 27.3 33.5 6 13321 240ac48eb9d4 99 413
363842827 17696 27.2 33.4 5 13326 240ac48eb9d4 99 410
364842524 17696 27.1 33.4 1 13335 240ac48eb9d4 99 400
365842603 17696 27.1 33.5 4 13333 240ac48eb9d4 99 400
366842847 17697 27.1 33.5 0 13338 240ac48eb9d4 99 400
367842875 17699 27.1 33.4 6 13335 240ac48eb9d4 99 404
368842453 17701 27.0 33.4 1 13341 240ac48eb9d4 99 400
369842866 17700 27.1 33.3 0 13341 240ac48eb9d4 99 400
370842564 17708 27.1 33.3 0 13347 240ac48eb9d4 99 400
371842882 17710 26.9 33.3 0 13356 240ac48eb9d4 99 400
372842790 17717 26.8 33.2 2 13360 240ac48eb9d4 99 400
373842866 17727 26.7 33.2 0 13365 240ac48eb9d4 99 400
374842814 17722 26.7 33.2 2 13361 240ac48eb9d4 99 425
375842874 17718 26.7 33.3 0 13353 240ac48eb9d4 99 425
376842576 17721 26.7 33.3 0 13345 240ac48eb9d4 99 442
377842289 17720 26.6 33.3 0 13347 240ac48eb9d4 99 426
378842519 17719 26.5 33.3 9 13341 240ac48eb9d4 99 445
379842589 17716 26.5 33.2 14 13341 240ac48eb9d4 99 437
380842771 17710 26.4 33.2 11 13344 240ac48eb9d4 99 447
381842874 17718 26.6 33.0 8 13325 240ac48eb9d4 99 490
382842850 17705 27.0 32.9 11 13300 240ac48eb9d4 99 513
383842775 17719 27.1 33.0 10 13324 240ac48eb9d4 99 477
384842870 17716 27.2 33.0 9 13314 240ac48eb9d4 99 499
385842874 17709 27.6 33.0 20 13267 240ac48eb9d4 99 585
386842676 17699 27.8 33.1 19 13238 240ac48eb9d4 99 637
387842957 17695 27.9 33.0 32 13215 240ac48eb9d4 99 675
388842959 17691 28.2 33.0 25 13195 240ac48eb9d4 99 708
389842874 17687 28.2 33.0 39 13203 240ac48eb9d4 99 698
390842950 17679 28.2 33.1 45 13217 240ac48eb9d4 99 661
391842962 17686 28.0 33.1 32 13248 240ac48eb9d4 99 610
392842942 17687 27.7 33.1 30 13281 240ac48eb9d4 99 545
393842598 17688 27.6 33.1 34 13285 240ac48eb9d4 99 540
394842927 17685 27.6 33.1 41 13254 240ac48eb9d4 99 600
395842894 17685 27.7 33.0 40 13261 240ac48eb9d4 99 575
396842870 17684 27.4 33.1 38 13296 240ac48eb9d4 99 515
397842956 17689 27.2 33.1 31 13320 240ac48eb9d4 99 472
398842862 17695 27.3 33.1 19 13330 240ac48eb9d4 99 460
399842680 17705 27.3 33.2 25 13336 240ac48eb9d4 99 461
400844958 17702 27.2 33.2 28 13321 240ac48eb9d4 99 472
401842961 17705 27.1 33.2 25 13326 240ac48eb9d4 99 468
402842923 17698 27.0 33.3 21 13331 240ac48eb9d4 99 459
403842822 17701 26.9 33.2 19 13333 240ac48eb9d4 99 434
404842684 17709 26.9 33.3 18 13339 240ac48eb9d4 99 452
405842527 17702 26.9 33.3 19 13327 240ac48eb9d4 99 452
406842938 17709 26.8 33.3 15 13328 240ac48eb9d4 99 464
407842826 17706 26.8 33.3 17 13331 240ac48eb9d4 99 448
408842931 17708 26.8 33.3 19 13326 240ac48eb9d4 99 455
409842826 17710 26.7 33.3 16 13330 240ac48eb9d4 99 460
410842763 17706 26.6 33.3 17 13325 240ac48eb9d4 99 463
411842950 17706 26.5 33.4 15 13323 240ac48eb9d4 99 461
412842938 17707 26.5 33.3 25 13324 240ac48eb9d4 99 456
413842814 17700 26.7 33.3 27 13322 240ac48eb9d4 99 473
414842957 17699 26.9 33.3 20 13323 240ac48eb9d4 99 468
415842935 17691 27.0 33.3 28 13320 240ac48eb9d4 99 481
416842931 17701 27.1 33.3 21 13319 240ac48eb9d4 99 467
417842810 17699 27.3 33.3 26 13318 240ac48eb9d4 99 472
418842985 17695 27.3 33.3 39 13312 240ac48eb9d4 99 487
419842809 17686 27.4 33.3 37 13311 240ac48eb9d4 99 492
420842949 17689 27.4 33.3 36 13310 240ac48eb9d4 99 476
421842881 17686 27.4 33.3 39 13312 240ac48eb9d4 99 479
