['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
232934506 17521 30.4 31.9 0 13125 240ac48df9dc 99 400
233934131 17516 30.3 31.8 0 13125 240ac48df9dc 99 400
234934579 17520 30.3 31.8 0 13125 240ac48df9dc 99 400
235934506 17526 30.3 31.8 0 13129 240ac48df9dc 99 400
236934570 17522 30.3 31.8 0 13132 240ac48df9dc 99 400
237934365 17520 30.3 31.8 0 13128 240ac48df9dc 99 400
238934377 17524 30.2 31.8 0 13131 240ac48df9dc 99 400
239934506 17518 30.3 31.8 0 13133 240ac48df9dc 99 400
240934562 17532 30.3 31.8 0 13130 240ac48df9dc 99 400
241934364 17523 30.4 31.8 0 13130 240ac48df9dc 99 400
242934475 17525 30.4 31.8 10 13137 240ac48df9dc 99 410
243934586 17525 30.4 31.8 3 13136 240ac48df9dc 99 409
244934579 17537 30.4 31.8 0 13131 240ac48df9dc 99 412
245934566 17528 30.4 31.8 0 13131 240ac48df9dc 99 415
246934590 17522 30.4 31.9 6 13121 240ac48df9dc 99 418
247934590 17526 30.4 31.9 10 13123 240ac48df9dc 99 422
248934235 17528 30.4 31.9 2 13122 240ac48df9dc 99 421
249934405 17526 30.4 31.9 15 13119 240ac48df9dc 99 426
250934479 17529 30.4 31.8 2 13122 240ac48df9dc 99 417
251934594 17526 30.4 31.9 2 13120 240ac48df9dc 99 421
252934578 17526 30.4 31.8 4 13127 240ac48df9dc 99 422
253934381 17527 30.4 31.8 3 13126 240ac48df9dc 99 417
254934570 17528 30.4 31.8 11 13121 240ac48df9dc 99 422
255934522 17521 30.4 31.9 4 13122 240ac48df9dc 99 424
256934393 17517 30.4 31.8 6 13119 240ac48df9dc 99 416
257934405 17522 30.4 31.9 11 13120 240ac48df9dc 99 426
258934651 17523 30.4 31.9 12 13120 240ac48df9dc 99 418
259934491 17525 30.3 31.9 4 13123 240ac48df9dc 99 424
260934373 17524 30.4 32.0 8 13118 240ac48df9dc 99 416
261934405 17519 30.3 31.9 16 13117 240ac48df9dc 99 424
262934570 17522 30.3 32.0 10 13123 240ac48df9dc 99 433
